Index,Market Cap
KEYS,17583791774.58806
KMB,40094576409.6658
KIM,7426346406.75312
KMI,25398553329.58162
KKR,27260335958.46461
KLAC,24061190922.81188
KHC,30533850765.39428
KR,21148270298.32523
LHX,32450579554.97898
LH,12366117012.99112
LRCX,31280815490.2073
LW,9295245492.257196
LVS,36713375177.69386
LDOS,12070566632.06577
LEN,13908883644.34058
LII,8280721112.833257
LLY,126671006664.8681
LIN,98201982504.59344
LYV,12713068598.24069
LKQ,7128857776.253469
LMT,79147536454.85484
L,8335286355.570269
LOW,70294748226.47368
LULU,33896821808.30996
LYB,17472388804.00771
MTB,16733180411.65132
MPC,10264677811.38983
MKTX,16792164855.55646
MAR,28407048904.62449
MMC,50016765855.16262
MLM,13560043157.57686
MAS,9917579096.6173
MA,273084862971.7609
MTCH,24715304626.40884
MKC,20423420166.86494
MCD,129765631657.15
MCK,18512683949.48536
MDT,116023191168.6196
MRK,169861490066.5628
META,511436680630.0911
MET,23701724198.83547
MTD,18567354321.32297
MGM,6501146752.279346
MCHP,25707981311.35415
MU,56701258653.89914
MSFT,1379245697511.83
MAA,12341383320.06206
MRNA,23987659250.39227
MHK,6582587372.894326
MOH,9704714023.620125
TAP,7312454616.526896
MDLZ,63393357288.57334
MPWR,11294191658.69765
MNST,35601200440.4618
MCO,46340860930.26395
MS,68062256070.2305
MOS,4803736682.017663
MSI,24518614126.80134
MSCI,25591670062.33573
NDAQ,21251403173.36982
NTAP,8606026392.691496
NFLX,190925897723.1453
NEM,56554023533.75309
NWSA,4836833720.438957
NWS,2439475472.503618
NEE,122921751626.0035
NKE,119305756076.0471
NI,9722126825.58222
NDSN,9783274426.649464
NSC,40449341905.29743
NTRS,14414264450.10342
NOC,43911572006.23401
NCLH,10080375155.6892
NRG,5792368716.802011
NUE,9780437270.221191
NVDA,241074771117.3731
NVR,11411601130.72614
NXPI,28845205510.06568
ORLY,24227584074.2125
OXY,17032077221.93433
ODFL,17612766558.53394
OMC,9839609279.319601
ON,9065117378.352869
OKE,17663984441.30531
ORCL,144316868787.0152
PCAR,22989078924.58458
PKG,8203127910.69276
PANW,26027914691.58414
PARA,14846764443.21473
PH,23772871933.84383
PAYX,24883002769.69772
PAYC,17530168744.64272
PYPL,159579239496.4444
PNR,6599058050.938342
PEP,164050501762.8581
PFE,160851172687.056
PCG,24420830281.27885
PM,94495181304.56961
PSX,23268882792.95818
PNW,7490971833.900393
PNC,39683310982.62512
POOL,10035039148.91523
PPG,24843476416.88069
PPL,17278481343.00715
PFG,8327436140.002243
PG,266248825686.9037
PGR,45049676534.61608
PLD,77743357797.00243
PRU,19597234329.18909
PEG,22938434082.1597
PTC,9925489259.335554
PSA,30315565972.90971
PHM,7619576182.054686
PWR,6782571632.704815
QCOM,102742265619.1427
DGX,11347333129.79886
RL,3035977220.5429
RJF,9887092920.838005
RTX,81506006702.03679
O,42079849318.53593
REG,6899570870.750537
REGN,57166342137.38774
RF,9527069056.618757
RSG,26064157166.83455
RMD,25013566134.03432
RVTY,12916938525.83548
ROK,22155011369.90554
ROL,14312887321.98913
ROP,40221800874.50859
ROST,30902055116.05992
RCL,17732520477.11018
SPGI,94534335524.4374
CRM,191017154616.769
SBAC,29526471645.87013
SLB,26650428354.10919
STX,9209023932.16203
SRE,35257877055.4769
NOW,84351812435.49059
SHW,49463448375.433
SPG,20390365255.09967
SWKS,18415923337.88575
SJM,10336640477.88701
SNA,6866572152.466001
SO,53297136678.61098
LUV,22823119618.59873
SWK,20257382711.52941
SBUX,85564939590.47594
STT,16331781110.13936
STLD,4055101977.685256
STE,15365325096.05101
SYK,72691144190.90356
SMCI,1551408339.532256
SYF,8906858023.659258
SNPS,28691526873.5304
SYY,26997290520.37994
TMUS,116275891686.3967
TROW,23774031160.94033
TTWO,25773533124.02134
TPR,3598820420.72081
TRGP,4145556643.731497
TGT,54718005555.66069
TEL,25257929993.72269
TDY,15687857044.0981
TFX,16275702278.98895
TER,12715684050.15726
TSLA,310056159796.2771
TXN,105898453516.4542
TPL,4123786238.082866
TXT,6734856350.927696
TMO,145170043785.8161
TJX,58781609876.77146
TSCO,10827533967.8403
TT,23213120685.55457
TDG,24215286136.99111
TRV,24270205616.09944
TRMB,11186119741.2775
TFC,44488175708.84099
TYL,15027986962.99086
TSN,16273630671.7563
USB,52117506218.5573
UBER,74729408053.36868
UDR,10713506665.75028
ULTA,10811737441.92664
UNP,97765689279.52888
UAL,14086846681.46286
UPS,81439817037.61247
URI,10215128620.03613
UNH,259575679465.1662
UHS,6577640711.119264
VLO,15238751103.84941
VTR,14896717805.18478
VRSN,19589247194.38928
VRSK,23764628602.42559
VZ,186125742856.4455
VRTX,64749530873.4052
VTRS,17334904547.90583
VICI,18508400267.58182
V,323645910778.0875
VST,5797051974.389248
VMC,16081683446.36662
WRB,9504753287.576689
GWW,15276621486.59901
WAB,10794777079.96068
WBA,28636485241.27136
WMT,324641826174.629
DIS,225847700612.1437
WBD,58546638675.4634
WM,41259880516.02968
WAT,12394321222.8169
WEC,25846689675.83165
WFC,88630672823.7012
WELL,32290873243.83139
WST,16079736930.61869
WDC,15987958419.66716
WY,15852244391.17234
WMB,18570092226.79134
WTW,18703619963.11301
WDAY,40302392451.54914
WYNN,9789947000.375658
XEL,33173331410.60873
XYL,18260124749.44061
YUM,23950453500.3071
ZBRA,13751144745.159
ZBH,24911346061.88136
ZTS,62935560245.89673
